date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2018-06-07,700.15,3.8,0.55,,,,,,
2018-06-05,696.35,3.67,0.53,,,,,,
2018-06-04,692.68,0.25,0.04,,,,,,
2018-06-01,692.43,-2.06,-0.3,,,,,,
2018-05-31,694.49,1.95,0.28,,,,,,
2018-05-30,692.54,-10.5,-1.49,,,,,,
2018-05-29,703.04,-12.57,-1.76,,,,,,
2018-05-28,715.61,28.03,4.08,,,,,,
2018-05-25,687.58,-17.49,-2.48,,,,,,
2018-05-24,705.07,-4.14,-0.58,,,,,,
2018-05-23,709.21,-8.11,-1.13,,,,,,
2018-05-21,717.32,-2.96,-0.41,,,,,,
2018-05-18,720.28,8.84,1.24,,,,,,
2018-05-17,711.44,-3.47,-0.49,,,,,,
2018-05-16,714.91,-14.1,-1.93,,,,,,
2018-05-15,729.01,-2.48,-0.34,,,,,,
2018-05-14,731.49,14.92,2.08,,,,,,
2018-05-11,716.57,10.73,1.52,,,,,,
2018-05-10,705.84,7.18,1.03,,,,,,
2018-05-09,698.66,-0.66,-0.09,,,,,,
2018-05-08,699.32,-8.14,-1.15,,,,,,
2018-05-04,707.46,7.25,1.04,,,,,,
2018-05-03,700.21,-11.26,-1.58,,,,,,
2018-05-02,711.47,1.28,0.18,,,,,,
2018-04-30,710.19,19.27,2.79,,,,,,
2018-04-27,690.92,-3.28,-0.47,,,,,,
2018-04-26,694.2,9.54,1.39,,,,,,
2018-04-25,684.66,-10,-1.44,,,,,,
2018-04-24,694.66,-0.36,-0.05,,,,,,
2018-04-23,695.02,1.63,0.24,,,,,,
2018-04-20,693.39,1.21,0.17,,,,,,
2018-04-19,692.18,6.94,1.01,,,,,,
2018-04-18,685.24,9.8,1.45,,,,,,
2018-04-17,675.44,-0.03,0,,,,,,
2018-04-16,675.47,-3.29,-0.48,,,,,,
2018-04-13,678.76,0.98,0.14,,,,,,
2018-04-12,677.78,-1.1,-0.16,,,,,,
2018-04-11,678.88,-2.69,-0.39,,,,,,
2018-04-10,681.57,3.66,0.54,,,,,,
2018-04-09,677.91,1.91,0.28,,,,,,
2018-04-06,676,2.66,0.4,,,,,,
2018-04-05,673.34,11.47,1.73,,,,,,
2018-04-04,661.87,-13.74,-2.03,,,,,,
2018-04-03,675.61,1.19,0.18,,,,,,
2018-04-02,674.42,-8.19,-1.2,,,,,,
2018-03-30,682.61,0.59,0.09,,,,,,
2018-03-29,682.02,4.75,0.7,,,,,,
2018-03-28,677.27,-3.82,-0.56,,,,,,
2018-03-27,681.09,10.4,1.55,,,,,,
2018-03-26,670.69,4.37,0.66,,,,,,
2018-03-23,666.32,-20.86,-3.04,,,,,,
2018-03-22,687.18,-3.53,-0.51,,,,,,
2018-03-21,690.71,3.43,0.5,,,,,,
2018-03-20,687.28,2.05,0.3,,,,,,
2018-03-19,685.23,-2.81,-0.41,,,,,,
2018-03-16,688.04,6.47,0.95,,,,,,
2018-03-15,681.57,0.08,0.01,,,,,,
2018-03-14,681.49,-3.54,-0.52,,,,,,
2018-03-13,685.03,-2.47,-0.36,,,,,,
2018-03-12,687.5,8.2,1.21,,,,,,
2018-03-09,679.3,11.94,1.79,,,,,,
